"regime","sd_re","re_dist","unbal","rare","coef","truth","nrep","fit_illume","fit_mclogit","conv_illume","conv_mclogit","n_illume","n_mclogit","degenerate","rare_share","n_obs","bias_illume","bias_mclogit","sd_illume","sd_mclogit","cover_illume","cover_mclogit","mean_se_illume","mean_se_mclogit","att_illume","att_mclogit","resd_illume","resd_mclogit","t_illume","t_mclogit","rmse_illume","rmse_mclogit"
"unbalanced",1,"gauss",TRUE,FALSE,"c2~grpb",-0.018,400,1,1,1,1,400,400,0,0.245390625,480,0.0275240707591615,0.0455113664836767,0.362462874229034,0.332823698140808,0.94,0.9475,0.338769253929213,0.32417316340822,1.00616226605018,0.881353173979558,0.94626904721381,1.24092195703763,0.378254055976868,3.41747891902924,0.363506409387135,0.335920970651335
"unbalanced",1,"gauss",TRUE,FALSE,"c2~grpc",-0.978,400,1,1,1,1,400,400,0,0.245390625,480,0.020002512343462,0.107777172306041,0.362075905191693,0.33497326020269,0.9375,0.9225,0.351986049918507,0.335224855710408,1.00616226605018,0.881353173979558,0.94626904721381,1.24092195703763,0.378254055976868,3.41747891902924,0.362627993431884,0.351884929943164
"unbalanced",1,"gauss",TRUE,FALSE,"c3~(Intercept)",-0.287,400,1,1,1,1,400,400,0,0.245390625,480,-0.0839949683015854,0.204813827288526,0.52824814829529,0.346008615337521,0.95,0.8925,0.477948155015361,0.329745546774044,1.00616226605018,0.881353173979558,0.94626904721381,1.24092195703763,0.378254055976868,3.41747891902924,0.534884343458833,0.402082909032905
"unbalanced",1,"gauss",TRUE,FALSE,"c3~x1",0.429,400,1,1,1,1,400,400,0,0.245390625,480,-0.00384566552466431,-0.0582668179602037,0.18042447060561,0.149245298032788,0.9475,0.9425,0.173189461584432,0.154291958949707,1.00616226605018,0.881353173979558,0.94626904721381,1.24092195703763,0.378254055976868,3.41747891902924,0.1804654502575,0.160216044952131
"unbalanced",1,"gauss",TRUE,FALSE,"c3~grpb",-0.756,400,1,1,1,1,400,400,0,0.245390625,480,-0.0140242194013226,0.100522365764656,0.407981566184619,0.342584713174893,0.935,0.945,0.39010413263137,0.355114376005723,1.00616226605018,0.881353173979558,0.94626904721381,1.24092195703763,0.378254055976868,3.41747891902924,0.408222533768374,0.357028054527998
"unbalanced",1,"gauss",TRUE,FALSE,"c3~grpc",-1.092,400,1,1,1,1,400,400,0,0.245390625,480,0.00391635673811463,0.161143247309826,0.391559500334264,0.327371732321863,0.9375,0.94,0.38618828079554,0.348560146851703,1.00616226605018,0.881353173979558,0.94626904721381,1.24092195703763,0.378254055976868,3.41747891902924,0.391579085437563,0.364882717153023
"rare",1,"gauss",FALSE,TRUE,"c2~(Intercept)",0,400,1,1,0.9875,1,395,400,0,0.0361302083333333,480,-0.0118334763568586,-0.0240478694240236,0.276552399099023,0.240204591717534,0.944303797468354,0.95,0.281304419865287,0.253987253964933,1.45144015950971,0.815954749295637,1.49344570525192,1.20694529490339,0.389506459236145,3.59048652648926,0.27680545625062,0.241405356001109
"rare",1,"gauss",FALSE,TRUE,"c2~x1",1.194,400,1,1,0.9875,1,395,400,0,0.0361302083333333,480,0.0258248424522134,-0.115555281651882,0.164967981331528,0.137766905530677,0.939240506329114,0.855,0.159162471671182,0.137749694038237,1.45144015950971,0.815954749295637,1.49344570525192,1.20694529490339,0.389506459236145,3.59048652648926,0.166977116253339,0.17981307899356
"rare",1,"gauss",FALSE,TRUE,"c2~grpb",-0.018,400,1,1,0.9875,1,395,400,0,0.0361302083333333,480,0.0045323364656754,0.0138522590146903,0.306334519731021,0.272762960203638,0.944303797468354,0.96,0.304894692225778,0.284456790414464,1.45144015950971,0.815954749295637,1.49344570525192,1.20694529490339,0.389506459236145,3.59048652648926,0.306368046722685,0.273114476985131
"rare",1,"gauss",FALSE,TRUE,"c2~grpc",-0.978,400,1,1,0.9875,1,395,400,0,0.0361302083333333,480,-0.00175071251228531,0.118854512098956,0.320342368278136,0.28171269728543,0.954430379746835,0.955,0.317295000678065,0.292761006315979,1.45144015950971,0.815954749295637,1.49344570525192,1.20694529490339,0.389506459236145,3.59048652648926,0.320347152177674,0.305758791955543
"rare",1,"gauss",FALSE,TRUE,"c3~(Intercept)",-3.6,400,1,1,0.9875,1,395,400,0,0.0361302083333333,480,-1.87612119985464,0.99854433461167,2.25103576293257,2.11274159212587,0.774683544303797,0.2575,16.3862998120712,243.502743721522,1.45144015950971,0.815954749295637,1.49344570525192,1.20694529490339,0.389506459236145,3.59048652648926,2.93035710495247,2.33682858234908
"rare",1,"gauss",FALSE,TRUE,"c3~x1",0.429,400,1,1,0.9875,1,395,400,0,0.0361302083333333,480,-0.0490737824866754,-0.109377885793717,0.447743271482576,0.313451576029599,0.964556962025316,0.9525,0.391677894544764,0.3032684152675,1.45144015950971,0.815954749295637,1.49344570525192,1.20694529490339,0.389506459236145,3.59048652648926,0.450424547827347,0.331987066639866
"rare",1,"gauss",FALSE,TRUE,"c3~grpb",-0.756,400,1,1,0.9875,1,395,400,0,0.0361302083333333,480,-0.54804023032245,-0.425177331083136,3.52007690889808,4.63920510342004,0.964556962025316,0.955,209.480020560896,1250.76302201038,1.45144015950971,0.815954749295637,1.49344570525192,1.20694529490339,0.389506459236145,3.59048652648926,3.56248361941629,4.65864784615295
"rare",1,"gauss",FALSE,TRUE,"c3~grpc",-1.092,400,1,1,0.9875,1,395,400,0,0.0361302083333333,480,-0.573124312104337,-0.359413066365408,3.68421074346256,4.4388491723678,0.954430379746835,0.9425,306.158917783948,1305.11864631901,1.45144015950971,0.815954749295637,1.49344570525192,1.20694529490339,0.389506459236145,3.59048652648926,3.72852253303772,4.45337621668151
"flat_re",0.05,"gauss",FALSE,FALSE,"c2~(Intercept)",-0.07,400,1,1,0.9875,1,395,400,0,0.1799375,480,0.00166257321058864,0.00386428407263582,0.210915135436699,0.208383442157306,0.939240506329114,0.9375,0.213875438804468,0.209193388304168,1.01988562959805,1.00754689984667,0.0992414892769685,0.00379703062033506,0.550142049789429,2.13756799697876,0.210921688088166,0.208419268918978
"flat_re",0.05,"gauss",FALSE,FALSE,"c2~x1",1.194,400,1,1,0.9875,1,395,400,0,0.1799375,480,0.0307376189226913,0.0168733941930757,0.15343873557074,0.149034658154013,0.949367088607595,0.9425,0.14533058195949,0.142079956445783,1.01988562959805,1.00754689984667,0.0992414892769685,0.00379703062033506,0.550142049789429,2.13756799697876,0.1564872096709,0.149986801961634
"flat_re",0.05,"gauss",FALSE,FALSE,"c2~grpb",-0.018,400,1,1,0.9875,1,395,400,0,0.1799375,480,-0.0133046576134993,-0.0154934425920835,0.275792497024262,0.272540905255375,0.959493670886076,0.95,0.284937659833439,0.281844529183683,1.01988562959805,1.00754689984667,0.0992414892769685,0.00379703062033506,0.550142049789429,2.13756799697876,0.276113229181599,0.272980936698469
"flat_re",0.05,"gauss",FALSE,FALSE,"c2~grpc",-0.978,400,1,1,0.9875,1,395,400,0,0.1799375,480,-0.00779620264941916,0.00170627175674676,0.309200299789778,0.305702572867734,0.931645569620253,0.9375,0.298182550472088,0.294658769994034,1.01988562959805,1.00754689984667,0.0992414892769685,0.00379703062033506,0.550142049789429,2.13756799697876,0.309298571231487,0.30570733458859
"flat_re",0.05,"gauss",FALSE,FALSE,"c3~(Intercept)",-0.287,400,1,1,0.9875,1,395,400,0,0.1799375,480,-0.00283552753628907,0.00809670858465789,0.215862961686753,0.210307176905257,0.959493670886076,0.9575,0.221073554775284,0.212941892405275,1.01988562959805,1.00754689984667,0.0992414892769685,0.00379703062033506,0.550142049789429,2.13756799697876,0.215881584310904,0.210462978568117
"flat_re",0.05,"gauss",FALSE,FALSE,"c3~x1",0.429,400,1,1,0.9875,1,395,400,0,0.1799375,480,0.00397164479384909,-0.000626733021430459,0.15974483193375,0.156530572233732,0.934177215189873,0.945,0.150315432984525,0.147634784323982,1.01988562959805,1.00754689984667,0.0992414892769685,0.00379703062033506,0.550142049789429,2.13756799697876,0.159794196677822,0.156531826917403
"flat_re",0.05,"gauss",FALSE,FALSE,"c3~grpb",-0.756,400,1,1,0.9875,1,395,400,0,0.1799375,480,-0.0168122096219728,-0.00810508436870006,0.324976591801069,0.321542427060208,0.954430379746835,0.955,0.32798525847078,0.324068716216882,1.01988562959805,1.00754689984667,0.0992414892769685,0.00379703062033506,0.550142049789429,2.13756799697876,0.325411179296305,0.321644562821125
"flat_re",0.05,"gauss",FALSE,FALSE,"c3~grpc",-1.092,400,1,1,0.9875,1,395,400,0,0.1799375,480,-0.025800046070064,-0.0103654267971434,0.32145884224695,0.316723837917229,0.951898734177215,0.9525,0.323499054242884,0.31902766570691,1.01988562959805,1.00754689984667,0.0992414892769685,0.00379703062033506,0.550142049789429,2.13756799697876,0.322492526480797,0.316893407280281
"heavy_re",1,"mixture",FALSE,FALSE,"c2~(Intercept)",-0.07,400,1,1,1,1,400,400,0,0.28409375,480,-0.0350070282794094,-0.0277220879094658,0.300570556547642,0.23862421008877,0.975,0.98,0.34246699350244,0.29092938792792,0.982007790324969,0.846376486507454,0.872958718405408,1.22662538075429,0.340650320053101,2.48432052135468,0.302602299218487,0.240229115218263
"heavy_re",1,"mixture",FALSE,FALSE,"c2~x1",1.194,400,1,1,1,1,400,400,0,0.28409375,480,0.00800180233259584,-0.145293102632612,0.185814696671319,0.151024141509246,0.935,0.8175,0.174426172705843,0.151344205111513,0.982007790324969,0.846376486507454,0.872958718405408,1.22662538075429,0.340650320053101,2.48432052135468,0.18598690905444,0.209567118105908
"heavy_re",1,"mixture",FALSE,FALSE,"c2~grpb",-0.018,400,1,1,1,1,400,400,0,0.28409375,480,0.00540920813194417,0.0139455007314329,0.365743348198721,0.317347196742538,0.935,0.95,0.354918791682753,0.327764667776917,0.982007790324969,0.846376486507454,0.872958718405408,1.22662538075429,0.340650320053101,2.48432052135468,0.365783346100155,0.317653459403478
"heavy_re",1,"mixture",FALSE,FALSE,"c2~grpc",-0.978,400,1,1,1,1,400,400,0,0.28409375,480,-0.0115675600026695,0.120118319737562,0.386489933643202,0.332392722019116,0.94,0.9375,0.368282097927419,0.338192467673712,0.982007790324969,0.846376486507454,0.872958718405408,1.22662538075429,0.340650320053101,2.48432052135468,0.386663002176239,0.353430802828294
"heavy_re",1,"mixture",FALSE,FALSE,"c3~(Intercept)",-0.287,400,1,1,1,1,400,400,0,0.28409375,480,0.391054606957677,0.424576392911179,0.276183827145276,0.217185427696637,0.85,0.715,0.349879785752798,0.285385513288927,0.982007790324969,0.846376486507454,0.872958718405408,1.22662538075429,0.340650320053101,2.48432052135468,0.478749633941829,0.476901062507979
"heavy_re",1,"mixture",FALSE,FALSE,"c3~x1",0.429,400,1,1,1,1,400,400,0,0.28409375,480,0.00925260336193962,-0.057295536177282,0.158076973448263,0.130267430691179,0.96,0.9325,0.158555551206812,0.141229305567979,0.982007790324969,0.846376486507454,0.872958718405408,1.22662538075429,0.340650320053101,2.48432052135468,0.158347529830864,0.142310863832398
"heavy_re",1,"mixture",FALSE,FALSE,"c3~grpb",-0.756,400,1,1,1,1,400,400,0,0.28409375,480,-0.010934936591574,0.0942825218228838,0.358106710430593,0.306458535120762,0.9475,0.9575,0.358179943743468,0.328111733198686,0.982007790324969,0.846376486507454,0.872958718405408,1.22662538075429,0.340650320053101,2.48432052135468,0.358273622938785,0.320633790592392
"heavy_re",1,"mixture",FALSE,FALSE,"c3~grpc",-1.092,400,1,1,1,1,400,400,0,0.28409375,480,0.00248078284823383,0.157228883549368,0.367764586531585,0.312453773554398,0.9425,0.925,0.353969388008107,0.321171996994641,0.982007790324969,0.846376486507454,0.872958718405408,1.22662538075429,0.340650320053101,2.48432052135468,0.367772953587248,0.349783193464986
"combined",1,"mixture",TRUE,TRUE,"c2~(Intercept)",0,400,1,1,0.9925,1,397,400,0,0.0249427083333333,480,0.00860834452414395,0.0131582216666251,0.253483204067197,0.227048118583029,0.962216624685139,0.9625,0.291709072223108,0.2674199271397,1.26825306158714,0.917802041003816,0.866630636024629,1.15030845751071,0.341129422187805,4.18884897232056,0.253629332569438,0.227429081142939
"combined",1,"mixture",TRUE,TRUE,"c2~x1",1.194,400,1,1,0.9925,1,397,400,0,0.0249427083333333,480,0.00917815712743364,-0.0923309143258686,0.164880585935243,0.142566642460737,0.939546599496222,0.8675,0.154027943144903,0.138448508201585,1.26825306158714,0.917802041003816,0.866630636024629,1.15030845751071,0.341129422187805,4.18884897232056,0.165135841617152,0.169853599557909
"combined",1,"mixture",TRUE,TRUE,"c2~grpb",-0.018,400,1,1,0.9925,1,397,400,0,0.0249427083333333,480,-7.0959769623246e-05,0.0050989453379491,0.304535785683726,0.279636452670689,0.942065491183879,0.9475,0.295793068431601,0.281782694000331,1.26825306158714,0.917802041003816,0.866630636024629,1.15030845751071,0.341129422187805,4.18884897232056,0.304535793950881,0.279682936386555
"combined",1,"mixture",TRUE,TRUE,"c2~grpc",-0.978,400,1,1,0.9925,1,397,400,0,0.0249427083333333,480,-0.0128544776964269,0.0727661794172813,0.331707195975748,0.29956051853165,0.926952141057935,0.94,0.308350026760694,0.291199482165927,1.26825306158714,0.917802041003816,0.866630636024629,1.15030845751071,0.341129422187805,4.18884897232056,0.331956174003349,0.308271667737953
"combined",1,"mixture",TRUE,TRUE,"c3~(Intercept)",-3.6,400,1,1,0.9925,1,397,400,0,0.0249427083333333,480,-0.750104004415926,0.832493590186702,2.48746510164751,1.73902109525418,0.83375314861461,0.4975,2.16857528521745,159.595613900814,1.26825306158714,0.917802041003816,0.866630636024629,1.15030845751071,0.341129422187805,4.18884897232056,2.59810289429711,1.92801450913653
"combined",1,"mixture",TRUE,TRUE,"c3~x1",0.429,400,1,1,0.9925,1,397,400,0,0.0249427083333333,480,-0.00748644390754216,-0.0536118998110353,0.497810617739819,0.348040447029503,0.949622166246851,0.9625,0.421829390152917,0.354230708073323,1.26825306158714,0.917802041003816,0.866630636024629,1.15030845751071,0.341129422187805,4.18884897232056,0.497866907894953,0.352145408275963
"combined",1,"mixture",TRUE,TRUE,"c3~grpb",-0.756,400,1,1,0.9925,1,397,400,0,0.0249427083333333,480,-0.920036781309652,-0.784599592650435,4.68060862791913,4.9074006237615,0.987405541561713,0.985,11912.2646186377,1518.91570770743,1.26825306158714,0.917802041003816,0.866630636024629,1.15030845751071,0.341129422187805,4.18884897232056,4.77017450484924,4.96972608932142
"combined",1,"mixture",TRUE,TRUE,"c3~grpc",-1.092,400,1,1,0.9925,1,397,400,0,0.0249427083333333,480,-1.11903234741062,-1.08706664540702,4.64309793087703,5.51126155004178,0.997481108312343,0.99,396.88989335622,1951.34096943566,1.26825306158714,0.917802041003816,0.866630636024629,1.15030845751071,0.341129422187805,4.18884897232056,4.77604352893332,5.61744762009628
