"family","b0","design","size","sd","cell","rep","seed","ok","sd_hat","se_logsd","push","ll","ll_drop","how","held","boundary","se_x","se_x_drop","draws_finite","drop_ok","push_ok","at"
"poisson",1.09861228866811,"ri",5,0.1,35,62,286747,TRUE,1.06552460794525e-05,0,-6.70536337565864e-09,-89.5802795899899,-89.5802795832679,"boundary","g","g",0.0792662296961621,0.0792662096982233,NA,TRUE,TRUE,TRUE
"binomial",0,"ri",5,0.1,36,62,294938,TRUE,2.71143610303056e-05,0,-2.35698394135397e-09,-33.6725320408531,-33.6725320384903,"boundary","g","g",0.320384901391502,0.320384920541572,NA,TRUE,TRUE,TRUE
"gaussian",0.5,"ri",10,0.1,37,62,303129,TRUE,6.67696041054991e-06,0,-6.13701445217885e-09,-81.1283561939346,-81.1283561877951,"boundary","g","g",0.0569908523210502,0.0575694383097303,NA,TRUE,TRUE,TRUE
"poisson",1.09861228866811,"ri",10,0.1,38,62,311320,TRUE,0.0898847474346946,1.13128629134778,0.135680057308377,-198.807437954673,-198.938804815376,"tmb","","",0.0563289098369631,0.0547946424417649,NA,FALSE,FALSE,FALSE
"binomial",0,"ri",10,0.1,39,62,319511,TRUE,4.9856448631424e-05,0,-6.39661834611616e-09,-66.5022435518264,-66.5022435454139,"boundary","g","g",0.186023572010755,0.186023590694916,NA,TRUE,TRUE,TRUE
"gaussian",0.5,"ri",30,0.1,40,62,327702,TRUE,0.114201091344018,0.377742065346483,1.61978976012972,-218.659545568407,-220.061443414769,"tmb","","",0.0295460582203183,0.0298958660105234,NA,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri",30,0.1,41,62,335893,TRUE,0.150493570022046,0.314391260167567,2.62340781192052,-590.201004554588,-592.782531724265,"tmb","","",0.0329394885863079,0.0318214315626002,NA,FALSE,FALSE,FALSE
"binomial",0,"ri",30,0.1,42,62,344084,TRUE,0.213683008289898,1.39948696699049,0.0741174146887431,-196.495405617929,-196.569666251099,"tmb","","",0.141281647486435,0.139947836643775,NA,FALSE,FALSE,FALSE
"gaussian",0.5,"ri",5,0.3,43,62,352275,TRUE,0.336032067939445,0.379593226728117,7.97125757820099,-37.9944181380827,-43.6970135026593,"tmb","","",0.0704079784822734,0.0845889181954324,NA,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri",5,0.3,44,62,360466,TRUE,0.360288951391481,0.400754225291822,5.80125684446094,-94.5830917503023,-100.000735188481,"tmb","","",0.0933366168887162,0.0882874154202571,NA,FALSE,FALSE,FALSE
"binomial",0,"ri",5,0.3,45,62,368657,TRUE,0.221092196669341,3.11664962806389,0.0164884947439319,-34.4909600247017,-34.5061968129525,"tmb","","",0.341515589173428,0.32561902348299,NA,FALSE,FALSE,FALSE
"gaussian",0.5,"ri",10,0.3,46,62,376848,TRUE,0.314324031171579,0.270978620661687,15.9084590447078,-69.3869699498583,-80.0814174433139,"tmb","","",0.0464164654580422,0.0541294024254216,NA,FALSE,FALSE,FALSE
