"family","b0","design","size","sd","cell","rep","seed","ok","sd_hat","se_logsd","push","ll","ll_drop","how","held","boundary","se_x","se_x_drop","draws_finite","drop_ok","push_ok","at"
"binomial",0,"ri",5,0.3,45,82,418677,TRUE,3.9202656565992e-05,0,-3.60419605272e-09,-31.300171008785,-31.3001710051718,"boundary","g","g",0.340125481720457,0.340125491139635,TRUE,TRUE,TRUE,TRUE
"gaussian",0.5,"ri",10,0.3,46,82,426868,TRUE,0.287377574532923,0.274275304754918,13.6046117661668,-65.965542640079,-75.9122779373668,"tmb","","",0.0460368803426357,0.0545006151372799,TRUE,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri",10,0.3,47,82,435059,TRUE,0.277517712806778,0.314658204726489,7.63848860323665,-227.298470131731,-234.699868181322,"tmb","","",0.0534261201876611,0.0507007398884135,TRUE,FALSE,FALSE,FALSE
"binomial",0,"ri",10,0.3,48,82,443250,TRUE,3.88330214535103e-05,0,-6.7784355906042e-09,-68.1586763584631,-68.1586763516906,"boundary","g","g",0.218050616038091,0.218050599230999,TRUE,TRUE,TRUE,TRUE
"gaussian",0.5,"ri",30,0.3,49,82,451441,TRUE,0.338932003278493,0.160705467397097,36.9290386620868,-257.891531088057,-285.213857206635,"tmb","","",0.0303425513620564,0.0345645744013367,TRUE,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri",30,0.3,50,82,459632,TRUE,0.326485480877407,0.172861643757125,31.2456646217013,-583.641929390427,-612.503681534848,"tmb","","",0.0337659023392654,0.0320817435379112,TRUE,FALSE,FALSE,FALSE
"binomial",0,"ri",30,0.3,51,82,467823,TRUE,0.223146003300367,1.21437567728325,0.100539446855322,-206.770892878617,-206.871866294409,"tmb","","",0.115990624236961,0.114665678727022,TRUE,FALSE,FALSE,FALSE
"gaussian",0.5,"ri_ar",12,0,1,83,58274,TRUE,6.76703713822485e-06,0,-2.76429545920109e-10,-235.229825005182,-235.229825004907,"boundary","g","g",0.0420695871832177,0.0420695877200988,TRUE,TRUE,TRUE,TRUE
"poisson",1.09861228866811,"ri_ar",12,0,2,83,66465,TRUE,0.359474137304638,0.233460266924117,12.6003757649485,-527.037630637235,-530.398990741618,"tmb","","",0.0438686065188452,0.0420637689701136,TRUE,FALSE,FALSE,FALSE
"binomial",0,"ri_ar",12,0,3,83,74656,TRUE,8.41966661764015e-05,0,-6.07104766459088e-09,-163.649751575259,-163.649751569188,"boundary","g","g",0.143861809430685,0.143861802413951,TRUE,TRUE,TRUE,TRUE
"gaussian",0.5,"ri_ar",24,0,4,83,82847,TRUE,0.201235985333628,0.422383148432688,1.93159955770096,-441.155654051777,-441.880423554935,"tmb","","",0.0254060061432996,0.0254474909936229,TRUE,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri_ar",24,0,5,83,91038,TRUE,0.12402876866621,1.753582424683,0.128704383281729,-1006.22321141905,-1006.26064096706,"tmb","","",0.0300050517954884,0.0299391285619978,TRUE,FALSE,FALSE,FALSE
"binomial",0,"ri_ar",24,0,6,83,99229,TRUE,2.28909352796634e-05,0,-1.41368445838452e-08,-327.906892730317,-327.906892716145,"boundary","g","g",0.0904027786159369,0.0904027879972847,TRUE,TRUE,TRUE,TRUE
"gaussian",0.5,"ri_ar",12,0.1,7,83,107420,TRUE,0.0748458657856305,8.50851845027981,0.00864339187870655,-226.514698748789,-226.51633551135,"tmb","","",0.0371374770347221,0.0371234154429698,TRUE,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri_ar",12,0.1,8,83,115611,TRUE,0.139407265304629,3.77464955500094,0.0562691581171748,-522.40761796804,-522.415459206295,"tmb","","",0.0422556308081768,0.0419706855672924,TRUE,FALSE,FALSE,FALSE
"binomial",0,"ri_ar",12,0.1,9,83,123802,TRUE,9.1016971162923e-05,0,-1.06520019471645e-08,-163.555121610305,-163.555121599637,"boundary","g","g",0.1282770689861,0.128277086035137,TRUE,TRUE,TRUE,TRUE
"gaussian",0.5,"ri_ar",24,0.1,10,83,131993,TRUE,0.132265709662597,0.751604785549745,0.567440005381457,-426.969996870895,-427.179256482068,"tmb","","",0.0256179350778977,0.0255493576210501,TRUE,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri_ar",24,0.1,11,83,140184,TRUE,4.25269230207982e-05,0,-4.82816631119931e-08,-1053.12281361516,-1053.12281356688,"boundary","g","g",0.0298031399646666,0.0298031488269358,TRUE,TRUE,TRUE,TRUE
"binomial",0,"ri_ar",24,0.1,12,83,148375,TRUE,5.25831534287012e-05,0,-1.30431772049633e-08,-326.746125816618,-326.864604803771,"boundary","g","g",0.104762981923571,0.101476698134586,TRUE,FALSE,TRUE,FALSE
"gaussian",0.5,"ri_ar",12,0.3,13,83,156566,TRUE,1.29551803944752e-05,0,-1.07354480860522e-09,-229.796870432237,-229.796870431162,"boundary","g","g",0.0412326033101073,0.0412326035517645,TRUE,TRUE,TRUE,TRUE
"poisson",1.09861228866811,"ri_ar",12,0.3,14,83,164757,TRUE,0.261661167415238,0.707498295561212,1.24546838192032,-515.807101700706,-515.965119891351,"tmb","","",0.0405789615003971,0.040163574423132,TRUE,FALSE,FALSE,FALSE
"binomial",0,"ri_ar",12,0.3,15,83,172948,TRUE,0.000113900351689203,0,-6.52198650641367e-09,-161.938398973943,-161.938398967405,"boundary","g","g",0.14670436896802,0.146704377297807,TRUE,TRUE,TRUE,TRUE
"gaussian",0.5,"ri_ar",24,0.3,16,83,181139,TRUE,0.360701834351029,0.398965392311985,3.75515310736745,-484.043075252487,-484.459639349403,"tmb","","",0.0295976040578731,0.0296215637356748,TRUE,FALSE,FALSE,FALSE
"poisson",1.09861228866811,"ri_ar",24,0.3,17,83,189330,TRUE,0.254151519797916,0.700444327755342,1.07018660651988,-1033.67324812989,-1033.85609097617,"tmb","","",0.0272407187620127,0.0270306871943103,TRUE,FALSE,FALSE,FALSE
"binomial",0,"ri_ar",24,0.3,18,83,197521,TRUE,7.24258196543638e-05,0,-1.67744929058244e-08,-325.772101235531,-325.772101218716,"boundary","g","g",0.103518264473503,0.103518272103405,TRUE,TRUE,TRUE,TRUE
"gaussian",0.5,"ri_ar",12,0.5,19,83,205712,TRUE,3.94247911505841e-05,0,-3.93526988773374e-10,-243.41941819087,-243.419418190476,"boundary","g","g",0.0387833567358155,0.0387833572493628,TRUE,TRUE,TRUE,TRUE
"poisson",1.09861228866811,"ri_ar",12,0.5,20,83,213903,TRUE,0.500807744110055,0.466379480657241,4.08994140321113,-514.404056604649,-514.609990962134,"tmb","","",0.0394684706222181,0.0392061097932367,TRUE,FALSE,FALSE,FALSE
