"design","noise","cell","rep","seed","ok","sigma","rel","se_logsig","push","held","how","draws_finite","at","rule"
"ri",0.5,5,49,30084,TRUE,0.500618659054256,0.598571396633473,0.0430351769366513,53517.9188291807,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,50,6057,TRUE,0.358685575065904,0.358195871959972,0.3833049222958,13.2658324497776,"","tmb",TRUE,FALSE,FALSE
"ar1",0.2,2,50,12064,TRUE,1.33403396365395e-05,1.39159999798577e-05,0,-1.12095221993513e-09,"g,dispersion","boundary",TRUE,TRUE,TRUE
"ar1",0.05,3,50,18071,TRUE,0.0764767366692665,0.0962490536674415,3.81009527737891,0.0750983810352182,"g","boundary",TRUE,FALSE,FALSE
"ri1",0.5,4,50,24078,TRUE,0.545777306060792,0.654934583290339,3810.22413123653,45.6574887225626,"","tmb",FALSE,FALSE,FALSE
"ri",0.5,5,50,30085,TRUE,0.518143503927953,0.630993398852949,0.0430348335079597,53517.9483563622,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,51,6058,TRUE,0.515031241860716,0.522047167968577,0.175560116276946,55.7100446480497,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,51,12065,TRUE,4.44564311391443e-05,5.00149240036194e-05,0,0.000135881173719099,"dispersion","boundary",TRUE,TRUE,TRUE
"ar1",0.05,3,51,18072,TRUE,1.02055384116996e-05,1.15924689370125e-05,0,-1.64845914696343e-09,"g,dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,51,24079,TRUE,0.552102932716579,0.659069632906831,107.812965507953,45.657467338146,"","tmb",FALSE,FALSE,FALSE
"ri",0.5,5,51,30086,TRUE,0.465162355415549,0.531766776539932,0.0430333729442545,53517.9004676985,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,52,6059,TRUE,0.191522944590741,0.205377958119222,1.68314535054429,0.757647700265238,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,52,12066,TRUE,0.000236891958254277,0.000310039175621765,0,1.35236268761219e-05,"dispersion","boundary",TRUE,TRUE,TRUE
"ar1",0.05,3,52,18073,TRUE,0.000123974476361137,0.000141615330042476,0,-3.55630727426615e-05,"dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,52,24080,TRUE,0.523874354280289,0.642305919805231,0.0816496580922639,45.6575279046219,"g","boundary",TRUE,FALSE,FALSE
"ri",0.5,5,52,30087,TRUE,0.472417922777268,0.559717088292371,0.0430333948865067,53517.8933536272,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,53,6060,TRUE,0.447258401466347,0.441633784209768,0.350966284332239,26.8169341475723,"","tmb",TRUE,FALSE,FALSE
"ar1",0.2,2,53,12067,TRUE,0.000212062934984573,0.000231352335048266,0,5.69568783248542e-07,"dispersion","boundary",TRUE,TRUE,TRUE
"ar1",0.05,3,53,18074,TRUE,1.30953190117397e-05,1.52720963899475e-05,0,-5.20185494679026e-09,"g,dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,53,24081,TRUE,0.533670207290312,0.629147693650273,0.0816496580925098,45.6574939612898,"g","boundary",TRUE,FALSE,FALSE
"ri",0.5,5,53,30088,TRUE,0.526829358394111,0.611951460358201,0.0430332196798967,53517.9209775773,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,54,6061,TRUE,0.571810086880157,0.586321191188986,0.0929280393406326,261.612652692508,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,54,12068,TRUE,0.238849608242653,0.27622904208786,0.348957558202491,7.25621043094355,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.05,3,54,18075,TRUE,0.000114302657698385,0.000147914012359717,0,7.55550622670853e-05,"dispersion","boundary",TRUE,TRUE,TRUE
"ri1",0.5,4,54,24082,TRUE,0.555413100660467,0.674333650410974,0.0816496580906953,45.6574888693321,"g","boundary",TRUE,FALSE,FALSE
"ri",0.5,5,54,30089,TRUE,0.509064744501991,0.561344033052413,0.0430332619468403,53517.9214042572,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,55,6062,TRUE,0.441652901599603,0.444044753431264,0.211734765851318,29.1778514543104,"g","boundary",TRUE,FALSE,FALSE
"ar1",0.2,2,55,12069,TRUE,0.309789403844442,0.328792123473668,0.218473249422763,22.5467823702725,"","tmb",TRUE,FALSE,FALSE
"ar1",0.05,3,55,18076,TRUE,0.105138342458277,0.129919387631532,2.11145120319371,0.266635440998357,"","tmb",TRUE,FALSE,FALSE
"ri1",0.5,4,55,24083,TRUE,0.546521180046548,0.647184734069417,0.0816496580983318,45.657490797117,"g","boundary",TRUE,FALSE,FALSE
"ri",0.5,5,55,30090,TRUE,0.467747877828387,0.599602931242327,0.0430333247631879,53517.9264442392,"","tmb",TRUE,FALSE,FALSE
"ar1",0.5,1,56,6063,TRUE,0.482923172741913,0.455592099351684,0.345871312482943,33.5794849629654,"","tmb",TRUE,FALSE,FALSE
"ar1",0.2,2,56,12070,TRUE,0.0992649915363507,0.108850860807781,2.58625810339722,0.118209595907842,"g","boundary",TRUE,FALSE,FALSE
