"family","design","disp","cell","rep","seed","ok","logdisp","inv_sqrt","se_logdisp","ll","ll_limit","push","held","how","se_ratio_x","draws_finite","limit_ll","push_down"
"nbinom","ar1",Inf,1,40,7959,TRUE,15.7965179574182,0.000371389575073309,0,-640.89836853304,-640.89836722063,-1.28514602693031e-06,"g,dispersion","boundary",1.00000019617092,TRUE,TRUE,TRUE
"nbinom","ar1",50,2,40,15878,TRUE,19.1924197264383,6.7985924747605e-05,0,-576.8849721092,-576.884972056193,-4.9020059122995e-08,"dispersion","boundary",1.00000023070395,TRUE,TRUE,TRUE
"nbinom","ar1",5,3,40,23797,TRUE,18.1145439572791,0.000116540468213189,0,-583.070555014918,-583.070554893115,-1.15731609184877e-07,"dispersion","boundary",1.00000016219821,TRUE,TRUE,TRUE
"nbinom","ar1",1,4,40,31716,TRUE,0.348867507940834,0.839932494579098,0.379645062138495,-596.053319779119,-595.575553972985,17.4887311160894,"g","boundary",1.03357750826376,TRUE,TRUE,FALSE
"nbinom","ri",Inf,5,40,39635,TRUE,2.79501775773967,0.24721203263635,0.662219235825518,-542.470168428439,-544.026810679276,1.38220938787072,"","tmb",1.0973080652501,TRUE,FALSE,FALSE
"nbinom","ri",50,6,40,47554,TRUE,15.5733771032888,0.000415225608028864,0,-515.902367426224,-515.902367357817,-6.50017000225489e-08,"dispersion","boundary",1.00000026022584,TRUE,TRUE,TRUE
"nbinom","ri",5,7,40,55473,TRUE,1.79484435617692,0.407619075940955,0.375005034012969,-521.726601645392,-527.850296741351,5.34473115887283,"","tmb",1.16667946636074,TRUE,FALSE,FALSE
"beta","ar1",10000,8,40,63392,TRUE,17.1879431027676,0.000185219018121443,0,224.147868462444,NA,0.000115433174869395,"g,dispersion","boundary",NA,TRUE,TRUE,TRUE
"beta","ar1",200,9,40,71311,TRUE,15.1090432408032,0.000523736626909136,0,218.401545400021,NA,-0.000174690064341121,"g,ar,dispersion","boundary",NA,TRUE,TRUE,TRUE
"beta","ar1",20,10,40,79230,TRUE,2.57664441328473,0.275733018240272,0.140372629315812,132.729324350489,NA,354.585442493262,"g","boundary",NA,TRUE,FALSE,FALSE
"beta","ri",200,11,40,87149,TRUE,5.30871389852265,0.0703440589232619,0.0858803689230009,519.859308818511,NA,2177.13245376732,"","tmb",NA,TRUE,FALSE,FALSE
"beta","ri",20,12,40,95068,TRUE,2.88291257270566,0.236582975133269,0.0842433554445937,202.370263275532,NA,2230.13762900285,"","tmb",NA,TRUE,FALSE,FALSE
"nbinom","ar1",Inf,1,41,7960,TRUE,14.2627202706713,0.000799631041076394,0,-622.805654343284,-622.774451828285,-1.03358820524591e-06,"g,dispersion","boundary",0.995673041663202,TRUE,TRUE,TRUE
"nbinom","ar1",50,2,41,15879,TRUE,19.5287743389463,5.74619729195205e-05,0,-579.908164435882,-579.908164437161,-2.77439085039077e-08,"g,dispersion","boundary",0.999999973132141,TRUE,TRUE,TRUE
"nbinom","ar1",5,3,41,23798,TRUE,14.5399526670324,0.000696128468478069,0,-647.028226687043,-647.027931752172,-1.54891495185439e-08,"g,dispersion","boundary",0.999815675028146,TRUE,TRUE,TRUE
"nbinom","ar1",1,4,41,31717,TRUE,-0.178586809086375,1.09340141821116,0.185895885099555,-664.982495561497,-668.994156611236,62.0197363506013,"g","boundary",0.958811117399737,TRUE,FALSE,FALSE
"nbinom","ri",Inf,5,41,39636,TRUE,4.12398297538686,0.127200399457305,1.64543304781988,-534.460934966923,-534.674204640591,0.191183338767246,"","tmb",1.02747826607189,TRUE,FALSE,FALSE
"nbinom","ri",50,6,41,47555,TRUE,3.50282273411792,0.173528857624667,1.25242423665828,-524.599851553302,-524.974503810997,0.336246174500161,"","tmb",1.04648980176152,TRUE,FALSE,FALSE
"nbinom","ri",5,7,41,55474,TRUE,1.50119345141766,0.47208476355879,0.28333005903827,-532.684448880947,-546.148247655949,11.4788023614328,"","tmb",1.24825166221965,TRUE,FALSE,FALSE
"beta","ar1",10000,8,41,63393,TRUE,8.61870457160875,0.0134422535135369,15.9502695945781,213.212578722842,NA,0.00424109426262476,"g","boundary",NA,FALSE,FALSE,FALSE
"beta","ar1",200,9,41,71312,TRUE,17.3606177690625,0.000169898580449826,0,206.055247121142,NA,0.000260628268279106,"dispersion","boundary",NA,TRUE,TRUE,TRUE
"beta","ar1",20,10,41,79231,TRUE,2.77458770188145,0.249750252375687,0.379737764548312,110.195315018315,NA,104.998480800041,"","tmb",NA,TRUE,FALSE,FALSE
"beta","ri",200,11,41,87150,TRUE,5.32001759985229,0.0699476062081782,0.0858810601067159,520.788327756319,NA,2177.20445113692,"","tmb",NA,TRUE,FALSE,FALSE
"beta","ri",20,12,41,95069,TRUE,3.0239047075486,0.220479104275923,0.0844119406274107,218.435747551296,NA,2227.1791545953,"","tmb",NA,TRUE,FALSE,FALSE
"nbinom","ar1",Inf,1,42,7961,TRUE,19.512237006691,5.79390765757211e-05,0,-577.508013460724,-577.50801343987,-4.06623712478904e-08,"g,dispersion","boundary",0.999999975009862,TRUE,TRUE,TRUE
"nbinom","ar1",50,2,42,15880,TRUE,2.75106857745493,0.252704542540782,1.65209104877114,-617.815455162112,-617.98424927315,0.685344481652464,"g","boundary",1.01786891897279,TRUE,FALSE,FALSE
"nbinom","ar1",5,3,42,23799,TRUE,1.40560464126356,0.495195660571494,1.07809466920803,-567.309157458093,-566.932508295115,3.41793863523901,"g","boundary",1.01079499812297,TRUE,TRUE,FALSE
"nbinom","ar1",1,4,42,31718,TRUE,0.18230023726456,0.912880660216446,0.270895289565246,-611.426025656605,-610.944088104696,34.4035386773188,"g","boundary",1.0303360765961,TRUE,TRUE,FALSE
"nbinom","ri",Inf,5,42,39637,TRUE,16.8838411495606,0.000215635608018702,0,-480.373756946075,-480.37375403417,-2.76694800049881e-06,"dispersion","boundary",1.0000000630751,TRUE,TRUE,TRUE
"nbinom","ri",50,6,42,47556,TRUE,2.83517549282365,0.242297796230421,1.04660453181832,-469.491883034068,-470.044298198253,0.495391487588051,"","tmb",1.06471067781993,TRUE,FALSE,FALSE
"nbinom","ri",5,7,42,55475,TRUE,2.18919916021378,0.334673590085229,0.57240426669056,-469.641811234319,-471.832054356384,1.94585528617733,"","tmb",1.10705485848967,TRUE,FALSE,FALSE
"beta","ar1",10000,8,42,63394,TRUE,18.6383865450341,8.96862335759935e-05,0,224.478040846088,NA,-0.000664334201701422,"g,dispersion","boundary",NA,TRUE,TRUE,TRUE
"beta","ar1",200,9,42,71313,TRUE,33.9375166107384,4.2713179737935e-08,NA,1071.01761444061,NA,-2693.68555832053,"","none",NA,NA,TRUE,TRUE
"beta","ar1",20,10,42,79232,TRUE,17.9291127378031,0.000127862336499715,0,111.545752532686,NA,0.00028206651131768,"dispersion","boundary",NA,TRUE,TRUE,TRUE
"beta","ri",200,11,42,87151,TRUE,5.29624240118349,0.0707840772912563,0.0858778368242813,517.677808514754,NA,2177.26630042372,"","tmb",NA,TRUE,FALSE,FALSE
"beta","ri",20,12,42,95070,TRUE,2.98967406994473,0.224285152388516,0.0844429840608166,213.03293235904,NA,2223.65023854581,"","tmb",NA,TRUE,FALSE,FALSE
"nbinom","ar1",Inf,1,43,7962,TRUE,17.2770066445365,0.000177151843146307,0,-623.473219252174,-623.473218786526,-4.80177959616412e-07,"g,dispersion","boundary",0.999999937097266,TRUE,TRUE,TRUE
"nbinom","ar1",50,2,43,15881,TRUE,16.9171372750449,0.000212075410312085,0,-638.871112616255,-638.87111244337,-1.64407879310602e-07,"dispersion","boundary",0.999999999217487,TRUE,TRUE,TRUE
"nbinom","ar1",5,3,43,23800,TRUE,1.29778917726847,0.522623171166471,0.459568968762265,-683.443674930268,-684.337419681995,9.24086449606875,"g","boundary",1.00951447519139,TRUE,FALSE,FALSE
"nbinom","ar1",1,4,43,31719,TRUE,-0.266527040002922,1.14255104371612,0.202218347027498,-614.738200102663,-616.097857026438,62.9178456656384,"g","boundary",0.96720367135298,TRUE,FALSE,FALSE
"nbinom","ri",Inf,5,43,39638,TRUE,3.29423437494067,0.192604351296814,1.03306493166215,-505.777093607719,-506.393494869853,0.559489478223725,"","tmb",1.06940152637323,TRUE,FALSE,FALSE
"nbinom","ri",50,6,43,47557,TRUE,3.95670085709636,0.138297180335601,1.59067110183893,-537.324500672587,-537.548875986486,0.201321629949803,"","tmb",1.03145848591564,TRUE,FALSE,FALSE
"nbinom","ri",5,7,43,55476,TRUE,2.13255009254349,0.344288590901621,0.446415844105394,-535.383628347567,-539.23233285123,3.4280235444387,"","tmb",1.1492841282736,TRUE,FALSE,FALSE
"beta","ar1",10000,8,43,63395,TRUE,18.1650565792768,0.000113633944438014,0,206.327828839507,NA,-9.34662239160389e-05,"g,dispersion","boundary",NA,TRUE,TRUE,TRUE
"beta","ar1",200,9,43,71314,TRUE,16.5439608216994,0.000255578639023255,0,203.660104913753,NA,0.0001110479511226,"g,dispersion","boundary",NA,TRUE,TRUE,TRUE
"beta","ar1",20,10,43,79233,TRUE,2.89940434548955,0.234640159923209,0.198860926157773,132.822588407539,NA,134.439279977513,"g","boundary",NA,TRUE,FALSE,FALSE
"beta","ri",200,11,43,87152,TRUE,5.38503257343358,0.0677103461863922,0.0858956148693397,530.093446133386,NA,2176.72232452104,"","tmb",NA,TRUE,FALSE,FALSE
